UNITCD,PLT_CN,PHYSCLCD
4,22342687010478,22
4,22342692010478,22
4,22342720010478,22
4,22342725010478,22
4,22342740010478,22
4,22342745010478,22
5,22342805010478,22
5,22342810010478,22
5,22342827010478,22
5,22342856010478,22
1,22342866010478,24
1,22342871010478,21
1,22342876010478,22
1,22342881010478,21
1,22342886010478,22
1,22342900010478,21
1,22342905010478,22
1,22342917010478,22
1,22342929010478,32
1,22342973010478,24
1,22342978010478,22
1,22342997010478,32
1,22343002010478,22
1,22343007010478,21
1,22343012010478,22
2,22343018010478,24
2,22343023010478,22
2,22343035010478,22
5,38842676010478,22
2,38843133010478,22
2,38843341010478,22
2,38843457010478,22
2,38844354010478,21
2,38844769010478,21
2,38844951010478,22
2,38845480010478,22
5,38845927010478,22
5,38846081010478,22
5,38846344010478,22
5,38846546010478,22
4,22345863010478,22
4,22345885010478,22
6,22345964010478,21
6,22345969010478,22
6,22345985010478,12
6,22346002010478,22
3,22341224010478,25
3,22341229010478,22
3,22341234010478,22
3,22341259010478,22
4,22341271010478,22
4,22341276010478,22
4,22341288010478,22
4,22341293010478,22
4,22341298010478,22
4,22341324010478,22
4,22341343010478,22
4,22341378010478,22
4,22341383010478,22
4,22341388010478,22
2,22344764010478,21
2,22344778010478,25
2,22344790010478,25
2,22344800010478,24
4,22344838010478,22
4,22344867010478,22
4,22344872010478,22
4,22344884010478,21
4,22344896010478,22
6,22344907010478,22
6,22344912010478,22
6,22344938010478,11
6,22344943010478,22
4,38854802010478,22
5,38855118010478,11
5,38855370010478,22
5,38855621010478,22
5,38855701010478,22
5,38855859010478,22
5,38855986010478,22
5,38856452010478,22
2,22347069010478,22
2,22347074010478,22
2,22347095010478,22
2,22347107010478,22
2,22347124010478,22
2,22347129010478,22
2,22347134010478,22
2,22347148010478,22
2,22347160010478,31
2,22347176010478,22
2,22347188010478,22
3,22347229010478,24
3,22347234010478,22
3,22347246010478,22
3,22347287010478,25
3,22347292010478,22
3,22347297010478,24
6,22347312010478,22
3,22347611010478,22
3,22347640010478,25
3,22347645010478,22
3,22347650010478,25
3,22347671010478,22
5,22347689010478,22
5,22347694010478,22
5,22347706010478,22
5,22347717010478,22
5,22347730010478,22
5,22347736010478,22
3,22347754010478,22
3,22347764010478,22
3,22347786010478,22
3,22342200010478,25
3,149753876010478,22
5,149753972010478,22
5,149754008010478,22
3,22332848010478,22
3,22332879010478,22
3,22332891010478,22
3,22332896010478,22
3,22332901010478,22
3,22332916010478,22
3,22332921010478,25
3,22349323010478,22
3,22349342010478,22
3,22349347010478,22
3,22349364010478,22
3,22349374010478,22
1,22349410010478,22
1,22349433010478,22
1,22349459010478,22
1,22349464010478,22
1,22349469010478,22
1,22349474010478,22
1,22349484010478,21
1,22349489010478,39
1,22349494010478,13
1,22349499010478,22
1,22349504010478,32
3,22333158010478,32
3,22333168010478,22
3,22333196010478,22
3,22333201010478,22
3,22333211010478,22
3,22333216010478,22
3,22333221010478,22
3,22333226010478,22
3,22333252010478,22
5,22333257010478,22
5,22333262010478,22
5,22333267010478,22
5,22333272010478,22
5,22333298010478,22
5,22333303010478,22
5,22333313010478,22
2,22333557010478,25
2,22333569010478,25
2,22333574010478,22
2,22333586010478,22
2,22333598010478,22
2,22333610010478,22
2,22333622010478,22
2,22333627010478,22
2,22333639010478,22
2,22333677010478,22
2,22333682010478,24
2,22333694010478,22
2,22333699010478,22
2,22333718010478,22
2,22333723010478,22
2,22333728010478,22
2,22333740010478,22
2,22333745010478,22
2,22333752010478,22
2,22333757010478,22
2,22333762010478,24
2,22333767010478,22
2,22333772010478,22
2,22333796010478,22
2,22333801010478,24
2,22333813010478,25
5,22333844010478,22
5,22333858010478,11
5,22333863010478,22
5,22333868010478,22
5,22333873010478,22
5,22333878010478,22
5,22333883010478,22
5,22333888010478,22
5,22333898010478,22
1,22349035010478,22
2,22330672010478,25
2,22330700010478,24
2,22330750010478,22
2,22330755010478,22
2,22330760010478,22
2,22330767010478,22
5,22330772010478,22
6,43055180010478,11
6,43055306010478,11
6,43055560010478,21
6,43056049010478,21
6,43056349010478,22
6,43056533010478,11
6,43056719010478,22
6,43056853010478,22
6,43057335010478,23
6,43057422010478,22
6,43057480010478,22
6,43058098010478,22
6,43058270010478,22
6,43058484010478,22
6,43058664010478,11
6,43058792010478,23
6,43058860010478,22
6,43059148010478,22
6,43059443010478,21
4,335445703489998,22
4,335445704489998,22
2,335445713489998,21
3,335445715489998,22
3,335445716489998,22
3,335445717489998,22
2,335445719489998,22
2,335445722489998,22
2,335445723489998,22
2,335445727489998,22
2,335445728489998,22
2,335445729489998,22
1,335445732489998,22
1,335445733489998,21
2,335445734489998,22
3,335445736489998,22
3,335445737489998,22
5,335445739489998,22
1,335445741489998,22
1,335445743489998,22
3,335445749489998,22
6,335445752489998,12
6,335445753489998,12
6,335445754489998,22
6,335445756489998,22
1,43504743010478,31
1,43505002010478,21
1,43505230010478,21
1,43505496010478,22
1,43505573010478,24
1,43506078010478,22
1,43506217010478,21
1,43506342010478,22
5,43518460010478,21
5,43518798010478,22
5,43519556010478,22
5,43520234010478,22
2,43520577010478,22
2,43521120010478,21
2,43521254010478,22
2,43521384010478,22
2,43521667010478,22
2,43521795010478,22
2,43522193010478,21
2,43522433010478,22
2,43522962010478,22
2,43523134010478,22
2,43523346010478,22
3,22331905010478,22
3,22331929010478,22
1,22331954010478,22
1,22331959010478,24
1,22331964010478,22
1,22331969010478,22
1,22331976010478,22
1,22332000010478,22
1,22332012010478,22
1,22332017010478,22
1,22332029010478,22
1,22332066010478,22
5,22332083010478,22
5,22332133010478,12
5,22332138010478,12
4,22332153010478,22
4,22332165010478,22
4,22332177010478,22
4,22332196010478,24
4,22332201010478,24
4,22332206010478,32
4,22332211010478,22
4,22332223010478,22
4,22339043010478,21
4,22339074010478,22
5,22339103010478,24
5,22339115010478,22
5,22339134010478,22
5,22343234010478,22
4,22343258010478,22
4,22343263010478,22
4,22343268010478,22
4,22343294010478,22
4,22343299010478,25
4,22343311010478,22
6,22343337010478,21
6,22343349010478,22
6,22343380010478,22
6,22343385010478,22
6,22343397010478,22
6,22343407010478,23
3,22343446010478,22
2,22343050010478,22
2,22343062010478,22
2,22343067010478,22
5,22339858010478,22
5,22339870010478,22
5,22339884010478,22
5,22339889010478,22
5,22339899010478,23
5,22339904010478,23
5,22339909010478,12
5,22339925010478,22
5,22339945010478,22
5,22339950010478,22
5,22339955010478,23
5,22339960010478,22
5,22339989010478,22
3,22340011010478,22
3,22340028010478,22
3,22340033010478,22
3,22340038010478,22
3,22340053010478,22
6,22340068010478,22
6,22340088010478,22
6,22340116010478,22
6,22340121010478,22
6,22340126010478,22
6,22340131010478,22
6,22340157010478,22
2,22340169010478,22
6,22346035010478,22
6,22346040010478,11
6,22346045010478,23
6,22346076010478,24
6,22346081010478,22
3,22346103010478,22
1,22344975010478,21
1,22344992010478,21
1,22344997010478,22
1,22345002010478,22
1,22345029010478,13
1,22345034010478,13
1,22345085010478,21
1,22345102010478,22
1,22345107010478,22
1,22345126010478,13
4,38893353010478,11
4,38893486010478,22
4,38893784010478,22
4,38894072010478,22
4,38894264010478,22
4,38894569010478,11
4,38894842010478,22
6,22347317010478,22
6,22347373010478,12
4,22347383010478,22
4,22347388010478,22
4,22347400010478,22
4,22347405010478,22
4,22347410010478,22
5,22341820010478,22
5,22341825010478,23
3,22341879010478,22
3,22341884010478,22
3,22341889010478,21
3,22341894010478,22
3,22341899010478,22
2,22341923010478,25
2,22341935010478,22
2,22341940010478,22
2,22341959010478,22
2,22341985010478,22
2,22341990010478,22
2,22342002010478,22
2,22342007010478,22
2,22342012010478,22
2,22342017010478,22
2,22342031010478,22
2,22342036010478,22
2,22342041010478,22
2,22342060010478,22
2,22342065010478,22
4,22332964010478,22
4,22332976010478,22
4,22332981010478,22
4,22332986010478,23
4,22332991010478,22
4,22332996010478,22
4,22333008010478,22
4,22333013010478,22
5,22333053010478,22
3,22333073010478,22
3,22333088010478,24
3,22333093010478,22
3,22333098010478,22
3,22333103010478,22
3,22333141010478,22
5,22348304010478,21
5,22348309010478,22
5,22348321010478,22
5,22348343010478,22
5,22348353010478,22
5,22348363010478,22
5,22348375010478,22
5,22348380010478,22
5,22348400010478,22
2,22348405010478,25
5,22333326010478,22
3,22333331010478,22
3,22333350010478,22
3,22333355010478,22
3,22333367010478,22
3,22333393010478,22
5,22333403010478,22
5,22333408010478,22
5,22333420010478,22
5,22333452010478,22
5,22333457010478,22
5,22333462010478,22
3,22333493010478,21
3,22333498010478,22
3,22348682010478,22
4,22348699010478,22
4,22348716010478,22
4,22348737010478,22
4,22348742010478,22
4,22348754010478,22
4,22348778010478,12
1,22349040010478,22
1,22349045010478,32
1,22349059010478,32
1,22349064010478,32
1,22349069010478,22
1,22349090010478,21
2,22349104010478,22
2,22349109010478,22
2,22349133010478,22
2,22349138010478,22
2,22349143010478,22
2,22349148010478,22
2,22349158010478,22
2,22349191010478,22
2,22349203010478,22
2,22349222010478,22
5,22349258010478,22
5,22349277010478,22
5,22349303010478,22
3,149754037010478,22
3,149754064010478,22
4,175742164010854,22
1,175742165010854,22
5,175742170010854,22
5,175742184010854,23
3,22330395010478,22
5,22330789010478,22
5,22330801010478,22
5,22330813010478,22
5,22330818010478,22
2,22337726010478,22
6,43060152010478,22
3,43060393010478,22
3,43060646010478,22
3,43060963010478,32
3,43061209010478,22
3,43061654010478,22
3,43061772010478,22
3,43062006010478,22
3,43062167010478,22
3,43062230010478,24
3,43062363010478,22
3,43062754010478,22
3,43063051010478,22
3,43063617010478,22
3,43063771010478,22
3,43064281010478,22
3,43064381010478,22
3,43064438010478,22
3,43064984010478,32
3,335445760489998,22
3,335445762489998,22
3,335445763489998,22
3,335445767489998,22
6,22332235010478,22
6,22332264010478,24
6,22332269010478,22
6,22332288010478,22
3,22332315010478,22
3,22332333010478,22
4,22343502010478,25
4,22343547010478,25
4,22343571010478,22
4,22343588010478,22
4,22343600010478,22
2,149754091010478,22
3,149754150010478,24
5,151211690010478,22
3,166743930010478,22
3,166743966010478,22
4,175742130010854,22
4,175742135010854,22
3,175742147010854,22
4,175742150010854,22
3,22346108010478,22
3,22346122010478,22
3,22346149010478,22
6,22346217010478,24
6,22346222010478,22
6,22346227010478,22
3,22346244010478,25
3,22340639010478,22
5,22340693010478,12
5,22340698010478,22
3,22340739010478,22
3,22340751010478,22
3,22340766010478,22
4,38895267010478,22
4,38895664010478,22
6,38896087010478,23
6,38896631010478,22
6,38896768010478,23
1,38896979010478,21
1,38897077010478,31
1,38897162010478,22
1,38897323010478,24
1,38897776010478,13
1,38897882010478,32
1,38898018010478,13
1,38898555010478,22
1,38898803010478,32
1,38898995010478,13
1,38899534010478,13
1,38899671010478,22
2,38901455010478,22
2,38901564010478,22
2,38901762010478,22
2,22346636010478,22
2,22346641010478,25
2,22346646010478,22
4,22346658010478,22
4,22346679010478,11
4,22346684010478,22
2,22342070010478,22
2,22342075010478,22
2,22342080010478,22
2,22342092010478,25
2,22342097010478,22
2,22342111010478,22
2,22342123010478,22
2,22342128010478,22
2,22342133010478,22
2,22342138010478,25
2,22342148010478,22
2,22342153010478,22
2,22342158010478,25
3,22342179010478,22
4,22345547010478,21
4,22345559010478,22
4,22345564010478,31
4,22345576010478,25
4,22345581010478,22
4,22345586010478,22
4,22347972010478,22
4,22347984010478,25
4,22348008010478,25
3,22348078010478,22
5,22348095010478,22
5,22348107010478,22
5,22348112010478,22
5,22348117010478,22
5,22348122010478,22
5,22348127010478,22
2,22348417010478,22
2,22348422010478,25
2,22348427010478,22
2,22348446010478,25
2,22348458010478,22
2,22348482010478,22
2,22348494010478,22
5,22348518010478,22
5,22348524010478,22
5,22348543010478,22
5,22348574010478,22
5,22348579010478,22
5,22348589010478,22
3,22348625010478,22
3,22348630010478,22
3,22348640010478,22
3,22348645010478,22
1,22335486010478,21
1,22335496010478,22
1,22335501010478,24
5,22335518010478,24
5,22335533010478,22
5,22335555010478,22
5,22335560010478,22
4,22335570010478,12
4,22348816010478,22
4,22348821010478,22
4,22348826010478,24
4,22348831010478,22
5,22348869010478,11
5,22348881010478,22
5,22348893010478,22
5,22348898010478,22
5,22348919010478,22
5,22348955010478,21
5,22348967010478,22
1,22348972010478,25
1,22348977010478,21
1,22348994010478,22
1,22349013010478,21
1,22349018010478,22
1,22349023010478,22
3,22335760010478,31
3,22335765010478,24
3,22335795010478,22
4,22335800010478,25
4,22335819010478,22
4,22335877010478,25
3,22330429010478,22
6,22336173010478,23
6,22336178010478,12
6,22336183010478,11
6,22336200010478,22
6,22336205010478,23
6,22336217010478,11
6,22336227010478,12
6,22336237010478,11
6,22336267010478,12
5,22336277010478,12
5,22336333010478,22
5,22336347010478,22
5,22336369010478,22
4,22336454010478,22
4,22336466010478,21
4,22336471010478,22
4,22336476010478,22
2,22337740010478,24
2,22337750010478,21
2,22337755010478,22
2,22337769010478,22
2,22337774010478,22
2,22337779010478,22
